Scenario,Scenario_Display,Algorithm,Run,Local_Parameter_Index,Global_Parameter_Index,Parameter_Type,cNDI,Within_Niche_Variance,Num_Pareto,K_eff
Malaria,Rural malaria transmission,NSGA-Full,6,21,21,Redundant,1.106427260755675,0.10201510694527555,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,22,22,Redundant,0.7647647415311465,0.04873875915743344,6,1
Malaria,Rural malaria transmission,NSGA-Full,7,0,0,Redundant,1.0869148606442764,0.09844865952411389,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,1,1,Redundant,0.9348877987617129,0.07283459968946009,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,2,2,Redundant,1.2023952604224026,0.12047953019052146,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,3,3,Representative,0.36979405668177173,0.01139563702976345,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,4,4,Redundant,0.7390850396904383,0.04552055799118473,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,5,5,Redundant,0.8756344752647711,0.06389464452268426,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,6,6,Redundant,0.8287645864917134,0.05723756165189839,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,7,7,Redundant,0.9929843374726817,0.08216815787217172,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,8,8,Representative,0.7386364158444337,0.04546531290095927,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,9,9,Redundant,0.6248249981547406,0.0325338565265893,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,10,10,Redundant,0.9658195284213893,0.07773394679000957,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,11,11,Representative,1.0745805543325504,0.09622694731247093,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,12,12,Redundant,1.0200468961816163,0.08670797253414576,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,13,13,Redundant,0.7800783577387154,0.050710187017694267,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,14,14,Representative,0.6264366512992829,0.03270190650758829,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,15,15,Redundant,0.938446745358803,0.07339019115621084,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,16,16,Redundant,0.477584457337065,0.019007242824161573,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,17,17,Redundant,0.7144286062686614,0.042534019454581844,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,18,18,Redundant,0.8145344042754206,0.05528885797902619,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,19,19,Representative,0.76120752615223,0.048286408155899824,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,20,20,Redundant,1.177414465309462,0.11552540192666386,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,21,21,Redundant,0.7988873202466349,0.05318507920423744,10,2
Malaria,Rural malaria transmission,NSGA-Full,7,22,22,Redundant,0.6441241243400341,0.03457465729640131,10,2
Malaria,Rural malaria transmission,NSGA-Full,8,0,0,Redundant,1.043065999105846,0.0906655565408897,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,1,1,Redundant,1.0868926428042789,0.09844463474850582,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,2,2,Redundant,1.1594310889557269,0.11202337083642189,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,3,3,Representative,0.3038896343689803,0.007695742489742713,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,4,4,Redundant,0.9411644833424748,0.07381588205877562,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,5,5,Redundant,0.493588441730904,0.020302462484195167,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,6,6,Redundant,0.862125843085609,0.06193841410967267,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,7,7,Redundant,0.8218767392447205,0.05629011454262786,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,8,8,Representative,0.5585333810245223,0.025996628143223687,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,9,9,Redundant,1.2011890750561238,0.12023793283618221,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,10,10,Redundant,0.5430859730738292,0.024578531179128997,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,11,11,Representative,1.2215420057048674,0.12434707264178918,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,12,12,Redundant,0.8775881679198543,0.0641800827060772,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,13,13,Redundant,0.8231620014868627,0.056466306724321486,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,14,14,Representative,0.527772751084427,0.02321200639893538,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,15,15,Redundant,0.7616037895232393,0.04833669435134655,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,16,16,Redundant,0.6022065743038891,0.030221063177902126,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,17,17,Redundant,0.801069900950285,0.05347608218404161,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,18,18,Redundant,0.8033641484816,0.05378282958879718,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,19,19,Representative,0.4708320698089351,0.01847356983004716,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,20,20,Redundant,1.0801369334076598,0.09722464957594196,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,21,21,Redundant,0.9022749395293982,0.06784167220856493,13,2
Malaria,Rural malaria transmission,NSGA-Full,8,22,22,Redundant,0.7380472626826138,0.04539281349610826,13,2
Malaria,Rural malaria transmission,NSGA-Full,9,0,0,Redundant,0.7672159452926799,0.04905169222594503,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,1,1,Redundant,0.6586884461211724,0.036155872421127055,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,2,2,Redundant,0.9360410339012326,0.07301440142890737,11,2
